Type,x,y,width,height,1,2,3,4,5,6
Bush,1632,576,32,32,,,,,,
Bush,1632,544,32,32,,,,,,
Bush,1632,512,32,32,,,,,,
Bush,1632,480,32,32,,,,,,
Bush,1568,480,32,32,,,,,,
Bush,1568,512,32,32,,,,,,
Bush,1568,544,32,32,,,,,,
Bush,1568,576,32,32,,,,,,
Bush,1568,608,32,32,,,,,,
Bush,1536,480,32,32,,,,,,
Bush,1536,512,32,32,,,,,,
Bush,1536,544,32,32,,,,,,
Bush,1536,576,32,32,,,,,,
Bush,1536,608,32,32,,,,,,
Bush,1472,384,32,32,,,,,,
Bush,1280,544,32,32,,,,,,
Bush,1248,576,32,32,,,,,,
Bush,800,608,32,32,,,,,,
Bush,800,352,32,32,,,,,,
Bush,800,320,32,32,,,,,,
Bush,800,288,32,32,,,,,,
Bush,768,288,32,32,,,,,,
Bush,768,320,32,32,,,,,,
Bush,768,352,32,32,,,,,,
Bush,736,352,32,32,,,,,,
Bush,736,320,32,32,,,,,,
Bush,128,480,32,32,,,,,,
Bush,128,512,32,32,,,,,,
Bush,128,544,32,32,,,,,,
Bush,160,512,32,32,,,,,,
Bush,160,576,32,32,,,,,,
Bush,160,608,32,32,,,,,,
Bush,160,640,32,32,,,,,,
Bush,160,672,32,32,,,,,,
Bush,192,608,32,32,,,,,,
Bush,448,864,32,32,,,,,,
Bush,480,864,32,32,,,,,,
Bush,512,896,32,32,,,,,,
Bush,576,864,32,32,,,,,,
Bush,608,864,32,32,,,,,,
Bush,608,896,32,32,,,,,,
Bush,320,1088,32,32,,,,,,
Bush,640,1184,32,32,,,,,,
Bush,832,1120,32,32,,,,,,
Bush,416,1280,32,32,,,,,,
Bush,672,1280,32,32,,,,,,
Bush,672,1312,32,32,,,,,,
Bush,672,1344,32,32,,,,,,
Bush,672,1376,32,32,,,,,,
Bush,832,1280,32,32,,,,,,
Bush,800,1600,32,32,,,,,,
Bush,672,1600,32,32,,,,,,
Bush,672,1664,32,32,,,,,,
Bush,832,1664,32,32,,,,,,
Bush,672,1888,32,32,,,,,,
Bush,384,1824,32,32,,,,,,
Bush,352,1600,32,32,,,,,,
Bush,192,1600,32,32,,,,,,
Bush,192,1728,32,32,,,,,,
Bush,224,1888,32,32,,,,,,
Collider,2816,144,256,112,,,,,,
Collider,2816,256,32,32,,,,,,
Collider,2912,256,32,32,,,,,,
Collider,2944,288,32,448,,,,,,
Collider,2784,448,160,32,,,,,,
Collider,2784,288,32,160,,,,,,
Collider,2848,352,64,64,,,,,,
Collider,2784,112,32,32,,,,,,
Collider,2752,64,32,144,,,,,,
Collider,2720,208,48,16,,,,,,
Collider,2720,224,32,80,,,,,,
Collider,2512,304,224,16,,,,,,
Collider,2528,320,192,16,,,,,,
Collider,2544,336,160,16,,,,,,
Collider,2496,288,32,16,,,,,,
Collider,2448,272,48,16,,,,,,
Collider,2432,256,32,16,,,,,,
Collider,2416,240,32,16,,,,,,
Collider,2400,224,32,16,,,,,,
Collider,2384,208,32,16,,,,,,
Collider,2368,192,32,16,,,,,,
Collider,2352,176,32,16,,,,,,
Collider,2336,144,32,32,,,,,,
Collider,2304,112,32,32,,,,,,
Collider,1904,128,400,128,,,,,,
Collider,2784,736,192,32,,,,,,
Collider,2976,768,32,128,,,,,,
Collider,944,896,2064,32,,,,,,
Collider,2368,736,352,32,,,,,,
Collider,2784,576,64,64,,,,,,
Collider,2720,608,64,64,,,,,,
Collider,2720,480,64,64,,,,,,
Collider,2624,480,64,64,,,,,,
Collider,2528,608,64,64,,,,,,
Collider,2592,608,64,64,,,,,,
Collider,2528,480,64,64,,,,,,
Collider,2656,384,128,32,,,,,,
Collider,2592,384,32,32,,,,,,
Collider,2464,384,96,32,,,,,,
Collider,2496,416,32,32,,,,,,
Collider,2496,512,32,64,,,,,,
Collider,2496,640,32,32,,,,,,
Collider,2496,704,32,32,,,,,,
Collider,2368,672,32,64,,,,,,
Collider,2400,640,64,64,,,,,,
Collider,2400,480,64,64,,,,,,
Collider,2368,384,64,32,,,,,,
Collider,2304,416,64,64,,,,,,
Collider,2272,672,96,32,,,,,,
Collider,2240,640,32,32,,,,,,
Collider,2144,672,96,32,,,,,,
Collider,2144,384,160,32,,,,,,
Collider,2144,416,32,256,,,,,,
Collider,2208,544,64,64,,,,,,
Collider,2272,544,64,64,,,,,,
Collider,2176,320,64,64,,,,,,
Collider,2144,256,32,64,,,,,,
Collider,1856,112,48,32,,,,,,
Collider,1776,240,96,144,,,,,,
Collider,1584,240,96,144,,,,,,
Collider,1440,144,112,112,,,,,,
Collider,1408,112,192,32,,,,,,
Collider,1600,128,96,48,,,,,,
Collider,1760,128,96,48,,,,,,
Collider,1696,128,64,32,,,,,,
Collider,1472,288,64,64,,,,,,
Collider,1920,288,32,32,,,,,,
Collider,1920,352,32,32,,,,,,
Collider,1920,448,32,256,,,,,,
Collider,1760,672,160,32,,,,,,
Collider,1760,448,160,32,,,,,,
Collider,1504,448,192,32,,,,,,
Collider,1472,448,32,256,,,,,,
Collider,1504,672,192,32,,,,,,
Collider,1360,128,48,496,,,,,,
Collider,1136,656,256,16,,,,,,
Collider,1152,672,224,16,,,,,,
Collider,1168,688,192,16,,,,,,
Collider,1184,704,160,16,,,,,,
Collider,1200,720,128,16,,,,,,
Collider,1216,320,128,160,,,,,,
Collider,1344,624,64,16,,,,,,
Collider,1328,640,80,16,,,,,,
Collider,1216,256,64,64,,,,,,
Collider,1280,192,64,64,,,,,,
Collider,1120,320,64,64,,,,,,
Collider,1184,224,48,32,,,,,,
Collider,896,256,288,16,,,,,,
Collider,912,272,256,16,,,,,,
Collider,272,0,640,32,,,,,,
Collider,896,32,32,32,,,,,,
Collider,880,64,32,16,,,,,,
Collider,864,80,32,16,,,,,,
Collider,848,96,32,16,,,,,,
Collider,832,112,32,96,,,,,,
Collider,848,208,32,16,,,,,,
Collider,864,224,32,16,,,,,,
Collider,880,240,32,16,,,,,,
Collider,1120,640,80,16,,,,,,
Collider,944,624,240,16,,,,,,
Collider,928,608,240,16,,,,,,
Collider,912,592,240,16,,,,,,
Collider,896,576,240,16,,,,,,
Collider,880,560,80,16,,,,,,
Collider,864,544,80,16,,,,,,
Collider,784,528,144,16,,,,,,
Collider,784,512,128,16,,,,,,
Collider,768,496,128,16,,,,,,
Collider,768,480,112,16,,,,,,
Collider,768,448,16,32,,,,,,
Collider,624,256,112,160,,,,,,
Collider,656,160,112,160,,,,,,
Collider,768,160,16,128,,,,,,
Collider,208,0,64,80,,,,,,
Collider,0,64,224,128,,,,,,
Collider,0,192,32,128,,,,,,
Collider,32,320,96,96,,,,,,
Collider,128,320,32,64,,,,,,
Collider,128,384,16,32,,,,,,
Collider,32,416,32,80,,,,,,
Collider,64,480,48,96,,,,,,
Collider,0,576,160,160,,,,,,
Collider,0,736,32,128,,,,,,
Collider,0,864,192,352,,,,,,
Collider,192,960,64,160,,,,,,
Collider,0,1216,64,80,,,,,,
Collider,288,176,64,16,,,,,,
Collider,416,192,80,16,,,,,,
Collider,256,208,96,16,,,,,,
Collider,240,224,112,16,,,,,,
Collider,224,240,128,16,,,,,,
Collider,208,256,144,16,,,,,,
Collider,192,272,384,144,,,,,,
Collider,192,416,384,16,,,,,,
Collider,192,432,400,16,,,,,,
Collider,416,176,64,16,,,,,,
Collider,304,160,32,16,,,,,,
Collider,432,160,32,16,,,,,,
Collider,272,192,80,16,,,,,,
Collider,416,208,96,16,,,,,,
Collider,416,224,112,16,,,,,,
Collider,416,240,128,16,,,,,,
Collider,416,256,144,16,,,,,,
Collider,208,448,416,16,,,,,,
Collider,224,464,416,16,,,,,,
Collider,240,480,416,16,,,,,,
Collider,256,496,416,16,,,,,,
Collider,272,512,400,16,,,,,,
Collider,288,528,384,16,,,,,,
Collider,304,544,368,16,,,,,,
Collider,320,560,352,16,,,,,,
Collider,336,576,336,16,,,,,,
Collider,352,592,320,16,,,,,,
Collider,368,608,288,16,,,,,,
Collider,384,624,256,16,,,,,,
Collider,400,640,224,16,,,,,,
Collider,416,656,192,16,,,,,,
Collider,432,672,160,16,,,,,,
Collider,640,704,32,32,,,,,,
Collider,448,928,96,160,,,,,,
Collider,368,1120,96,160,,,,,,
Collider,240,1184,96,160,,,,,,
Collider,272,1344,96,160,,,,,,
Collider,432,1328,96,144,,,,,,
Collider,528,1152,96,144,,,,,,
Collider,736,1152,96,160,,,,,,
Collider,240,1536,96,160,,,,,,
Collider,400,1504,96,160,,,,,,
Collider,272,1728,96,160,,,,,,
Collider,528,1664,96,160,,,,,,
Collider,720,1696,96,160,,,,,,
Collider,688,864,128,96,,,,,,
Collider,656,960,208,160,,,,,,
Collider,736,1344,128,144,,,,,,
Collider,592,1440,224,160,,,,,,
Collider,432,1824,224,96,,,,,,
Collider,96,1920,784,32,,,,,,
Collider,672,1120,32,32,,,,,,
Collider,160,1248,32,32,,,,,,
Collider,576,1344,64,64,,,,,,
Collider,384,1696,32,32,,,,,,
Collider,128,1856,64,64,,,,,,
Collider,416,1728,64,64,,,,,,
Collider,992,1600,32,96,,,,,,
Collider,864,976,32,544,,,,,,
Collider,928,912,16,32,,,,,,
Collider,912,928,16,32,,,,,,
Collider,896,944,16,32,,,,,,
Collider,880,960,16,16,,,,,,
Collider,864,1520,48,16,,,,,,
Collider,880,1536,48,16,,,,,,
Collider,896,1552,48,16,,,,,,
Collider,912,1568,32,16,,,,,,
Collider,928,1584,64,16,,,,,,
Collider,944,1696,48,16,,,,,,
Collider,928,1712,32,16,,,,,,
Collider,912,1728,32,16,,,,,,
Collider,896,1744,32,16,,,,,,
Collider,880,1760,32,16,,,,,,
Collider,864,1776,32,144,,,,,,
Collider,64,1280,48,16,,,,,,
Collider,96,1296,32,16,,,,,,
Collider,112,1312,32,16,,,,,,
Collider,128,1328,32,16,,,,,,
Collider,144,1344,32,16,,,,,,
Collider,160,1360,32,16,,,,,,
Collider,176,1376,32,16,,,,,,
Collider,192,1392,32,96,,,,,,
Collider,160,1504,32,16,,,,,,
Collider,144,1520,32,16,,,,,,
Collider,128,1536,32,16,,,,,,
Collider,112,1552,32,16,,,,,,
Collider,96,1568,32,64,,,,,,
Collider,112,1632,32,16,,,,,,
Collider,128,1648,32,16,,,,,,
Collider,144,1664,32,16,,,,,,
Collider,160,1680,32,96,,,,,,
Collider,144,1776,32,16,,,,,,
Collider,176,1488,32,16,,,,,,
Collider,128,1792,32,16,,,,,,
Collider,112,1808,32,16,,,,,,
Collider,96,1824,32,96,,,,,,
Collider,832,1600,32,32,,,,,,
Soldier,1536,256,32,32,8,48,8,59
Soldier,1504,480,32,32,15,47,15,53
Soldier,1824,480,32,32,15,57,15,54
Soldier,1472,768,32,32,24,46,24,60
Soldier,2688,416,32,32,13,84,21,84
Soldier,2464,672,32,32,21,77,21,90
Soldier,832,384,32,32,12,26,24,26
Soldier,32,768,32,32,24,1,25,27
Soldier,480,1088,32,32,34,15,58,21
